순번,API 통신방식,메뉴 위치,API 명,API ID,실전 TR_ID,모의 TR_ID,HTTP Method,URL 명,실전 Domain,모의 Domain
263,REST,[해외주식] 기본시세,해외주식 업종별시세,해외주식-048,HHDFS76370000,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/industry-theme,https://openapi.koreainvestment.com:9443,모의투자 미지원
264,REST,[해외주식] 기본시세,해외주식 현재가 호가,해외주식-033,HHDFS76200100,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/inquire-asking-price,https://openapi.koreainvestment.com:9443,모의투자 미지원
265,REST,[해외주식] 시세분석,해외주식 거래증가율순위,해외주식-045,HHDFS76330000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/trade-growth,https://openapi.koreainvestment.com:9443,미지원
266,REST,[해외주식] 시세분석,해외주식 기간별권리조회,해외주식-052,CTRGT011R,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/period-rights,https://openapi.koreainvestment.com:9443,모의투자 미지원
267,REST,[해외주식] 시세분석,해외주식 가격급등락,해외주식-038,HHDFS76260000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/price-fluct,https://openapi.koreainvestment.com:9443,미지원
268,REST,[해외주식] 시세분석,해외주식 거래대금순위,해외주식-044,HHDFS76320010,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/trade-pbmn,https://openapi.koreainvestment.com:9443,미지원
269,REST,[해외주식] 시세분석,해외주식 거래량급증,해외주식-039,HHDFS76270000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/volume-surge,https://openapi.koreainvestment.com:9443,미지원
270,REST,[해외주식] 시세분석,해외주식 신고/신저가,해외주식-042,HHDFS76300000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/new-highlow,https://openapi.koreainvestment.com:9443,미지원
271,REST,[해외주식] 시세분석,해외주식 매수체결강도상위,해외주식-040,HHDFS76280000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/volume-power,https://openapi.koreainvestment.com:9443,미지원
272,REST,[해외주식] 시세분석,해외주식 거래회전율순위,해외주식-046,HHDFS76340000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/trade-turnover,https://openapi.koreainvestment.com:9443,미지원
273,REST,[해외주식] 시세분석,해외뉴스종합(제목),해외주식-053,HHPSTH60100C1,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/news-title,https://openapi.koreainvestment.com:9443,미지원
274,REST,[해외주식] 시세분석,당사 해외주식담보대출 가능 종목,해외주식-051,CTLN4050R,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/colable-by-company,https://openapi.koreainvestment.com:9443,미지원
